No.,보관방법,카테고리,품목군,품목코드,품목명,규격,단위,입고,,실사재고,,,사용량,,전산재고,,클레임,,구분,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,수량,금액,수량,단가,금액,수량,금액,수량,금액,수량,금액,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,262853,슈가버터소스S 한미에프쓰리,2KG,개,0,0,1.5,"9,400","14,100",0,0,1.5,"14,100.",0,0,정상발주,0,Y,Y,N,N,20250705,403,EA,1.5,14100,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
40,,,,319718,스위트칠리소스 오뚜기,30G*200개,박스,0,0,0.5,"48,000","24,000",0,0,0.5,"24,000.",0,0,정상발주,0,Y,Y,N,N,20250705,403,BOX,0.5,24000,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
41,,,,319720,시저드레싱 오뚜기,30G*200개,박스,0,0,0.5,"58,000","29,000",0,0,0.5,"29,000.",0,0,정상발주,0,Y,Y,N,N,20250705,403,BOX,0.5,29000,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
42,,,,319719,이탈리안드레싱 오뚜기,30G*200개,박스,0,0,0.2,"50,000","10,000",0.3,"15,000",0.2,"10,000.",0,0,정상발주,0,Y,Y,N,N,20250705,403,BOX,0.5,25000,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
43,,,,311758,치폴레마요소스 한미에프쓰리,2KG,개,0,0,0.5,"11,900","5,950",0,0,0.5,"5,950.",0,0,정상발주,0,Y,Y,N,N,20250705,403,EA,0.5,5950,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
44,,,,175823,토마토피자소스 대상,2KG,팩,0,0,1.1,"6,700","7,370",0,0,1.1,"7,370.",0,0,정상발주,0,Y,Y,N,N,20250705,403,PAC,1.1,7370,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
45,,,,232926,허니스모키 머스터드소스 음성공장,2KG,팩,0,0,1.3,"9,950","12,935",0,0,1.3,"12,935.",0,0,정상발주,0,Y,Y,N,N,20250705,403,PAC,1.3,12935,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
46,,즉석조리,계육가공,333423,NBB 데리야끼치킨 에쓰푸드,"500G, 냉장",팩,3,"20,100",1.7,"6,700","11,390",1.6,"10,720",1.7,"11,390.",0,0,정상발주,0,Y,Y,N,N,20250705,451,PAC,3.3,22110,45105,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
47,,채소,양채류,326598,NBB 양상추 슬라이스 국내산 냉장,1KG*5팩,박스,3,"81,000",4,"27,000","108,000",1,"27,000",4.,"108,000.",0,0,정상발주,0,Y,Y,N,N,20250705,102,BOX,5,135000,10205,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
48,,,,311351,NBB 적채슬라이스 국내산 냉장,"1000G, 2mm",팩,1,"3,700",1.9,"3,700","7,030",0.5,"1,850",1.9,"7,030.",0,0,정상발주,0,Y,Y,N,N,20250705,102,PAC,2.4,8880,10205,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
49,,,,000003,양배추 무침용 국내산 냉장,"1KG, 0.3cm",kg,0,0,0.9,"2,520","2,268",0.3,756,0.9,"2,268.",0,0,정상발주,0,Y,Y,N,N,20250705,102,KG,1.2,3024,10205,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
50,,,조미채소,339896,깐양파 중국 냉장,"5KG, 직경 5CM 이상",봉,0,0,2.3,"8,800","20,240",0,0,2.3,"20,240.",0,0,정상발주,0,Y,Y,N,N,20250705,102,BON,2.3,20240,10204,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
51,,축산가공품,알가공품,322620,누테이블 에그샐러드,500G,팩,2,"9,000",2,"4,500","9,000",1,"4,500",2.,"9,000.",0,0,정상발주,0,Y,Y,N,N,20250705,413,PAC,3,13500,41306,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
52,,커피/차류,액상커피,315702,르쎄떼 크래프트 커피,865ML,개,0,0,1.3,"15,000","19,500",0,0,1.3,"19,500.",0,0,정상발주,0,Y,Y,N,N,20250705,438,EA,1.3,19500,43806,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
53,상온,농산가공품,곡물가공,160273,볶음콩가루 뚜레반,1KG,봉,0,0,0.4,"4,200","1,680",0,0,0.4,"1,680.",0,0,정상발주,0,Y,Y,N,N,20250705,412,BON,0.4,1680,41210,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
54,,,과채가공품,243995,블랙올리브 슬라이스 리치스,1.600KG,팩,0,0,2,"6,200","12,400",0.2,"1,240",2.,"12,400.",0,0,정상발주,0,Y,Y,N,N,20250705,412,PAC,2.2,13640,41203,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
55,,,설탕,183316,백설탕 CJ제일제당,3KG,봉,0,0,0.8,"3,900","3,120",0,0,0.8,"3,120.",0,0,정상발주,0,Y,Y,N,N,20250705,412,BON,0.8,3120,41215,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
56,,,시럽,012022,리치스슈가시럽 리치스,1.500L,개,0,0,1,"3,600","3,600",0,0,1.,"3,600.",0,0,정상발주,0,Y,Y,N,N,20250705,412,EA,1,3600,41214,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
57,,음료류,과일채소음료,238271,미닛메이드 오렌지주스 페트 코카콜라,350ML*24개,박스,0,0,0.79,"25,000","19,750",0,0,0.79,"19,750.",0,0,정상발주,0,Y,Y,N,N,20250705,437,BOX,0.79,19750,43702,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
58,,,기타음료,008953,탄산시럽 칠성사이다 롯데칠성,10L,개,0,0,1.8,"33,200","59,760",0,0,1.8,"59,760.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,1.8,59760,43710,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
59,,,,341679,탄산시럽 칠성사이다 제로 롯데칠성,10L,개,0,0,0.7,"33,200","23,240",1.1,"36,520",0.7,"23,240.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,1.8,59760,43710,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
60,,,,105506,탄산시럽 탐스제로 파인애플 롯데칠성,10L,개,0,0,3.1,"33,200","102,920",0.1,"3,320",3.1,"102,920.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,3.2,106240,43710,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
61,,,,241501,탄산시럽 펩시 제로슈거 라임향 롯데칠성,10L,개,0,0,1.9,"33,200","63,080",1.1,"36,520",1.9,"63,080.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,3,99600,43710,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
62,,,,008956,탄산시럽 펩시콜라 롯데칠성,20L,개,0,0,1.2,"60,800","72,960",0,0,1.2,"72,960.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,1.2,72960,43710,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
63,,조미료,소금,017275,천일염 구운소금 태평소금,1KG,봉,0,0,0.8,"3,000","2,400",0,0,0.8,"2,400.",0,0,정상발주,0,Y,Y,N,N,20250705,403,BON,0.8,2400,40313,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
64,,,소스,310773,브랜드케첩 롯데제과,9G*1000개,박스,1,"28,600",1.7,"28,600","48,620",0.3,"8,580",1.7,"48,620.",0,0,정상발주,0,Y,Y,N,N,20250705,403,BOX,2,57200,40312,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
65,,,,179467,토마토케찹 스파우트팩 오뚜기,3.300KG,개,0,0,1.3,"6,000","7,800",0,0,1.3,"7,800.",0,0,정상발주,0,Y,Y,N,N,20250705,403,EA,1.3,7800,40312,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
66,,,,009030,허니머스타드 오뚜기,12G*200개,박스,0,0,1.3,"12,600","16,380",0,0,1.3,"16,380.",0,0,정상발주,0,Y,Y,N,N,20250705,403,BOX,1.3,16380,40312,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
67,,커피/차류,침출차,013909,캐모마일삼각티백 다질리언,1G*30개,팩,0,0,1,"8,500","8,500",0,0,1.,"8,500.",0,0,정상발주,0,Y,Y,N,N,20250705,438,PAC,1,8500,43801,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
68,,,,013916,페퍼민트삼각티백 다질리언,2.800G*30개,팩,0,0,1,"8,500","8,500",0,0,1.,"8,500.",0,0,정상발주,0,Y,Y,N,N,20250705,438,PAC,1,8500,43801,10328,NBB 건대점,,01,,01,,,N,,,0000000,윤혜리,
